ISSN	CategoryName
2053-1583	材料科学
2190-5738	生物学与生物化学
1619-4500	工程学
2325-7237	临床医学
0149-1423	地球科学
1550-7416	药理学和毒理学
1530-9932	药理学和毒理学
1532-8813	材料科学
0942-8925	临床医学
0025-5858	数学
0065-7727	化学
1069-6563	临床医学
1040-2446	临床医学
1042-9670	精神病学与心理学
1076-6332	临床医学
0001-4273	经济与商业
0363-7425	经济与商业
0044-586X	植物学与动物学
0001-4575	社会科学总论
0001-4788	经济与商业
0361-3682	经济与商业
0001-4826	经济与商业
0001-4842	化学
0949-1775	化学
0889-325X	材料科学
0889-3241	工程学
0360-0300	计算机科学
1556-4673	计算机科学
1550-4832	计算机科学
0146-4833	计算机科学
0362-1340	计算机科学
0734-2071	计算机科学
0362-5915	计算机科学
1084-4309	计算机科学
0730-0301	计算机科学
1046-8188	计算机科学
0098-3500	计算机科学
0164-0925	计算机科学
1049-331X	计算机科学
1936-7228	计算机科学
1549-6325	计算机科学
1544-3558	计算机科学
1544-3566	计算机科学
1556-4665	计算机科学
1529-3785	计算机科学
1942-3454	计算机科学
1073-0516	计算机科学
1946-6226	计算机科学
1539-9087	计算机科学
1094-9224	计算机科学
2157-6904	计算机科学
2160-6455	计算机科学
1533-5399	计算机科学
1556-4681	计算机科学
1049-3301	计算机科学
1551-6857	计算机科学
1936-7406	计算机科学
1550-4859	计算机科学
1553-3077	计算机科学
1559-1131	计算机科学
1063-7710	物理学
1944-8244	材料科学
2155-5435	化学
1554-8929	生物学与生物化学
1948-7193	神经系统学与行为学
2156-8952	化学
2161-1653	化学
1948-5875	化学
1936-0851	化学
2330-4022	物理学
2168-0485	化学
2161-5063	生物学与生物化学
1091-5397	临床医学
1610-1928	物理学
0001-5113	植物学与动物学
0906-4702	植物学与动物学
0906-4710	农业科学
0139-3006	农业科学
0044-5967	环境科学与生态学
0001-5172	临床医学
0167-8019	数学
0065-1036	数学
0094-5765	工程学
0001-5237	空间科学
1672-9145	生物学与生物化学
0001-527X	生物学与生物化学
0001-5296	植物学与动物学
0236-5383	生物学与生物化学
0325-2957	化学
0001-5342	生物学与生物化学
0365-0588	植物学与动物学
1253-8078	植物学与动物学
0001-5385	临床医学
0583-6050	地球科学
0567-7351	化学
1318-0207	化学
1508-1109	植物学与动物学
0001-5458	临床医学
1233-2356	化学
1784-3286	临床医学
1399-0047	分子生物学与遗传学
2056-9890	化学
0001-5555	临床医学
0940-5429	生物学与生物化学
0374-1036	植物学与动物学
0873-9749	植物学与动物学
0001-5644	临床医学
0001-5709	地球科学
1000-9515	地球科学
0001-5792	临床医学
0044-5991	生物学与生物化学
0065-1281	生物学与生物化学
0137-1592	植物学与动物学
0001-5903	计算机科学
1359-6454	材料科学
0236-5294	数学
0252-9602	数学
1439-8516	数学
0001-5962	数学
0567-7718	工程学
0894-9166	工程学
0001-5970	工程学
0386-300X	临床医学
0412-1961	材料科学
1217-8950	微生物学
0065-1400	神经系统学与行为学
0001-6268	临床医学
0300-9009	神经系统学与行为学
0001-6314	神经系统学与行为学
